,1,2,3,4,5
0,5.0,5.0,21.7,31.3,31.4
1,5.0,5.0,22.5,27.8,25.8
2,5.0,5.0,27.9,24.1,24.4
3,5.0,5.0,33.5,24.8,18.5
4,5.0,10.0,25.0,16.0,26.2
5,5.0,1.9,18.5,19.0,44.8
6,5.0,4.6,26.6,19.7,28.0
7,5.0,5.0,27.5,12.8,31.5
8,5.0,5.4,20.7,24.0,80.4
9,5.0,8.5,24.3,22.2,41.7
10,5.0,5.0,30.8,20.4,43.1
11,5.0,4.0,31.9,24.9,50.2
12,5.0,1.6,33.6,29.3,46.2
13,5.0,5.0,41.4,24.3,51.0
14,5.0,5.0,37.0,57.6,59.1
15,5.0,5.0,41.7,74.0,61.2
16,5.0,10.0,47.0,21.4,73.5
17,5.0,5.0,38.2,18.9,62.4
18,5.0,5.0,36.6,16.2,61.4
19,10.0,5.0,46.1,9.3,60.3
20,5.0,5.0,44.3,6.0,66.9
21,5.0,5.0,101.8,6.6,139.4
22,10.0,5.0,67.4,5.0,78.7
23,5.0,5.0,162.4,5.0,101.7
24,10.0,5.0,100.7,14.3,96.7
25,5.0,19.6,101.1,15.5,112.9
26,6.0,43.1,90.8,33.3,103.9
27,5.0,63.5,115.7,37.3,94.0
28,5.0,69.5,130.7,35.5,94.0
29,5.0,88.7,150.0,24.7,118.5
30,5.0,102.4,146.7,50.3,107.6
31,5.0,127.6,125.7,46.9,143.3
32,5.0,122.1,138.6,42.9,158.5
33,5.0,117.7,133.4,41.0,182.0
34,5.0,112.4,166.8,98.8,413.4
35,5.0,91.7,372.8,116.5,245.3
36,5.0,154.2,211.0,157.7,255.3
37,5.0,136.2,250.0,144.1,250.0
38,5.0,260.4,336.7,237.6,291.1
39,5.0,455.3,460.5,315.0,305.2
40,5.0,440.7,607.5,1178.6,324.3
41,5.0,1030.0,1225.0,3370.0,374.3
42,5.0,7270.0,9350.0,5.0,683.3
43,5.0,5.0,5.0,5.0,978.0
44,5.0,10.0,20.0,5.0,2070.0
45,5.0,8.7,19.0,6.7,10.0
46,5.0,5.6,19.5,5.2,18.3
47,5.0,13.1,18.4,3.8,17.2
48,5.0,11.7,13.5,4.1,42.4
49,5.0,12.1,17.8,15.3,27.4
50,5.0,6.9,16.4,10.1,22.7
51,5.0,3.4,17.0,10.6,21.8
52,5.0,5.0,23.6,7.1,44.8
53,5.0,5.0,24.4,5.6,54.8
54,5.0,5.0,42.2,10.0,60.6
55,5.0,5.0,24.0,4.2,62.2
56,10.0,5.0,27.0,5.0,27.7
57,10.0,5.0,32.2,5.6,48.4
58,5.0,5.0,28.4,9.7,29.5
59,2.8,5.0,38.8,7.9,39.5
60,1.8,5.0,45.1,12.9,40.6
61,11.8,5.0,92.8,11.2,42.0
62,12.3,5.0,53.1,11.7,43.2
63,23.5,10.0,59.9,19.7,47.2
64,19.0,5.0,67.3,23.1,46.1
65,11.6,5.0,66.6,18.9,89.8
66,18.0,5.0,63.1,14.2,93.8
67,20.2,10.0,59.0,24.2,51.5
68,16.7,5.0,58.0,27.6,50.3
69,30.0,2.2,45.4,31.6,49.1
70,50.2,5.8,44.9,23.5,41.7
71,66.2,6.4,43.7,31.0,80.2
72,48.5,6.9,42.3,22.5,45.6
73,54.6,22.1,36.9,16.8,81.2
74,61.6,31.4,31.4,17.7,56.8
75,52.1,33.3,45.6,29.7,66.9
76,63.1,35.4,39.5,27.4,73.5
77,61.9,29.0,32.6,29.1,120.8
78,57.2,26.5,25.3,35.0,72.5
79,60.3,65.8,22.5,24.1,71.7
80,59.3,50.6,19.4,16.9,61.1
81,47.2,48.4,20.9,23.1,65.6
82,50.2,63.5,52.9,24.7,48.9
83,35.7,62.6,101.0,55.0,80.2
84,19.9,140.0,61.5,46.5,86.1
85,22.1,136.8,59.3,75.6,92.8
86,10.5,75.4,111.8,48.5,94.0
87,24.6,64.3,113.8,134.6,95.4
88,5.0,3.3,13.3,178.8,89.4
89,5.0,0.1,8.6,8.3,80.8
90,10.0,5.0,24.8,8.6,8.3
91,5.0,5.0,14.5,12.4,8.7
92,10.0,5.0,18.7,22.0,14.6
93,10.0,0.9,57.4,37.4,2.4
94,5.0,5.0,27.5,23.0,10.0
95,5.0,5.2,28.5,23.7,10.4
96,5.0,11.3,31.5,56.2,16.6
97,5.0,15.7,32.3,32.8,11.2
98,5.0,20.4,31.4,33.7,11.7
99,5.0,33.6,36.7,32.7,20.4
100,5.0,21.7,31.3,31.4,16.8
